1000 200000
396 20 224
975 685 413
913 951 977
702 894 502
229 314 79
585 633 570
269 969 778
67 424 643
462 974 663
701 56 467
195 418 886
701 227 214
312 214 22
57 681 970
309 893 364
397 303 537
712 350 314
996 892 170
111 91 706
466 405 603
813 811 554
358 877 739
839 47 246
271 809 327
181 903 424
279 923 594
490 907 302
850 663 28
21 576 53
437 873 575
458 66 709
218 357 149
247 62 540
546 556 353
86 190 542
337 681 762
712 909 442
788 310 13
369 90 909
331 459 407
969 80 150
759 921 512
711 115 691
934 661 988
269 559 525
209 879 985
597 819 42
826 122 957
292 963 801
341 881 275
768 718 282
931 124 954
663 615 427
323 566 793
608 881 154
5 498 474
493 505 700
981 502 858
646 711 858
224 569 4
453 810 812
757 62 952
330 454 583
165 241 758
35 490 796
630 254 532
65 218 271
423 602 386
103 544 598
256 273 429
662 601 648
285 120 902
836 377 31
961 140 825
48 856 691
743 956 707
38 79 986
192 690 138
452 236 902
440 493 17
919 156 849
323 694 381
379 747 322
307 38 705
219 55 207
796 481 448
126 188 553
298 881 59
641 998 712
864 926 131
233 940 300
851 443 353
620 37 972
97 60 792
701 290 979
563 705 212
930 375 425
436 284 637
898 6 605
984 395 366
468 227 953
341 507 369
68 782 658
442 983 671
239 753 451
914 320 622
524 185 222
698 753 724
210 572 277
126 953 951
353 745 24
893 416 294
280 210 889
527 546 346
112 714 635
747 267 839
871 995 38
778 895 0
545 856 820
828 725 963
633 167 683
294 132 483
379 89 716
43 159 36
522 995 63
910 146 743
667 398 536
694 557 734
835 509 323
227 340 460
408 352 487
300 563 677
526 214 691
226 266 643
666 896 27
184 167 627
555 119 482
282 653 831
539 552 586
85 153 71
729 480 349
498 244 431
246 857 446
19 739 891
31 734 747
288 542 201
982 453 996
889 859 21
133 707 450
869 47 769
641 990 449
220 808 129
214 282 764
391 639 395
222 254 931
136 283 925
280 131 923
487 729 477
252 745 550
708 844 381
695 476 242
645 937 505
733 888 829
443 697 207
582 329 614
696 545 618
769 888 427
304 410 210
895 181 124
107 524 949
271 163 897
522 423 763
660 186 700
164 412 681
233 533 490
825 781 281
565 54 405
623 904 619
246 393 453
471 558 667
636 871 442
36 682 635
190 677 290
667 984 798
399 176 36
956 88 219
513 596 272
258 312 875
670 460 937
946 791 690
639 52 742
399 232 40
117 420 934
79 240 612
87 79 47
741 390 366
827 804 528
598 69 381
313 453 115
3 918 531
875 130 536
947 132 718
974 130 699
879 754 729
954 178 600
278 39 295
347 252 668
190 247 536
777 59 80
300 443 678
776 33 559
180 731 640
133 575 397
543 510 967
127 686 311
607 654 345
636 474 43
237 773 716
243 339 268
257 366 190
282 712 569
239 519 639
710 254 343
966 927 664
517 205 542
908 3 334
463 221 758
778 626 935
341 815 787
149 72 350
698 200 306
583 516 463
383 718 344
274 30 684
681 630 38
54 801 649
147 119 706
821 912 120
84 407 538
868 82 791
67 894 380
534 620 331
988 466 297
263 980 716
494 11 940
255 517 155
550 769 134
514 762 211
950 287 953
465 40 820
253 610 253
309 333 928
134 718 595
919 366 298
807 735 777
785 914 340
279 487 907
417 97 557
164 977 153
467 316 525
252 642 589
861 521 428
252 256 728
62 803 13
740 185 562
545 656 101
504 134 468
966 381 418
663 315 377
380 852 796
563 606 86
554 76 782
572 726 608
453 253 706
842 623 459
762 295 960
177 83 775
100 423 385
481 589 433
874 332 436
796 982 398
321 425 573
159 66 766
847 493 286
825 486 799
602 222 437
363 97 820
104 489 685
524 714 29
649 282 882
576 540 89
206 302 582
649 741 142
613 353 543
231 894 534
558 461 486
537 100 671
199 108 99
99 252 44
791 702 612
47 941 359
905 421 987
370 440 647
584 333 542
627 746 998
706 509 803
806 436 900
581 294 30
919 909 913
864 641 98
305 745 162
356 134 24
170 468 277
958 656 193
845 557 516
988 308 431
45 503 549
383 346 385
602 810 795
451 107 821
373 554 670
246 89 4
693 652 653
379 899 439
505 349 774
416 50 905
764 601 943
786 638 980
544 357 529
981 666 420
792 497 435
793 194 116
171 876 145
614 15 180
143 166 198
8 144 939
941 621 443
568 35 814
833 373 645
304 540 271
697 275 183
288 445 393
194 126 903
209 429 62
292 19 72
295 986 618
498 920 309
198 422 75
277 671 477
952 812 633
368 969 217
453 925 74
561 604 494
760 177 996
597 22 301
563 794 475
506 614 498
253 590 994
504 126 21
184 340 908
282 355 719
155 484 378
469 308 718
199 889 834
108 142 827
923 939 854
147 684 399
642 700 778
524 509 234
45 86 635
4 917 840
539 35 627
448 158 696
680 471 322
671 121 442
534 880 838
645 765 936
616 931 260
5 441 167
997 895 113
446 753 941
215 584 321
24 517 987
340 304 689
609 184 873
711 390 506
170 786 634
767 479 758
60 552 436
360 123 385
35 709 772
249 746 524
384 744 599
205 378 997
876 776 541
590 266 727
315 383 464
115 510 394
588 394 672
507 910 294
532 363 408
925 899 513
592 900 959
373 947 331
122 349 114
786 453 181
887 777 51
160 423 354
573 19 814
825 588 638
150 647 618
754 39 417
353 462 78
806 576 377
521 564 882
359 846 208
303 430 744
261 289 591
746 442 511
374 449 74
85 834 541
991 385 445
686 334 588
380 393 418
272 293 440
123 716 445
245 405 897
639 584 601
480 110 866
183 256 491
514 496 65
38 590 7
909 927 613
606 226 842
68 714 168
415 869 952
680 240 607
677 824 481
651 248 474
594 730 97
116 773 305
697 133 336
918 321 814
749 287 964
573 341 528
380 698 712
467 327 219
823 119 433
513 157 698
440 281 674
703 508 875
681 88 77
350 805 964
195 39 63
976 857 639
345 87 743
67 449 867
772 946 488
81 259 634
1 448 137
603 667 505
445 936 279
862 526 938
961 364 997
294 856 618
826 543 871
775 565 720
208 537 929
288 615 144
480 415 889
629 72 864
746 348 704
698 130 721
518 309 794
41 371 708
958 137 995
303 666 80
255 456 357
734 634 642
497 187 343
630 448 457
16 246 848
530 206 198
133 138 933
800 130 43
375 39 705
78 173 744
374 677 48
181 696 425
524 266 622
426 601 244
124 193 690
768 661 941
936 575 382
733 196 603
521 833 951
558 311 495
77 902 483
756 636 257
796 238 918
781 9 773
941 926 347
656 978 607
614 945 4
986 824 490
239 336 311
406 296 881
724 727 819
324 140 844
14 646 274
49 836 563
22 318 826
632 825 697
524 622 29
75 71 424
207 725 926
828 662 170
679 156 866
901 747 475
302 185 961
601 253 531
754 439 383
250 804 994
459 493 600
651 812 970
334 714 484
699 52 896
156 641 915
890 698 167
593 806 120
119 869 514
514 847 312
142 469 939
191 639 960
170 410 516
287 449 304
511 346 235
871 269 657
271 831 429
610 936 789
979 30 167
369 76 184
481 545 696
6 929 155
860 477 647
846 957 63
735 40 301
518 953 494
425 992 157
400 182 34
406 699 336
653 723 940
340 291 873
251 273 305
100 875 481
189 175 500
460 711 153
675 945 928
954 805 60
798 38 302
156 372 800
607 210 197
585 610 658
432 332 549
324 875 42
373 929 713
953 360 424
612 981 353
590 11 364
535 554 834
286 605 726
295 834 961
141 225 497
942 521 639
340 330 914
263 686 448
225 244 971
334 771 37
126 70 990
931 877 886
494 752 686
378 798 905
313 445 120
949 773 586
710 451 716
872 935 142
670 216 458
635 784 334
100 79 372
127 499 361
664 757 457
781 432 771
643 118 228
591 128 402
667 201 842
441 532 382
878 611 970
96 85 13
662 364 458
781 915 66
530 712 926
663 471 809
354 949 132
43 671 703
817 811 842
287 670 848
884 767 761
579 508 290
624 15 204
652 648 472
888 820 99
893 425 358
4 311 156
684 436 296
214 176 59
445 606 892
472 956 658
857 817 846
74 849 660
4 735 358
378 906 994
321 57 783
639 525 511
644 256 529
320 1000 226
400 713 696
131 611 897
546 465 875
957 566 403
592 146 85
129 805 346
650 652 50
849 771 607
231 133 519
403 350 688
239 566 158
80 383 770
346 426 602
7 48 308
9 571 657
865 868 292
7 234 695
917 104 219
740 397 14
522 540 526
552 207 142
414 166 912
902 518 543
370 151 708
454 985 103
822 495 199
160 619 907
399 619 714
51 282 547
325 572 710
656 964 87
906 504 674
364 180 238
771 504 872
645 786 635
545 595 813
93 833 575
827 613 650
116 385 840
747 323 504
527 20 171
418 922 813
553 833 33
570 759 677
350 479 836
997 346 842
990 43 164
356 689 315
3 669 435
624 392 536
967 681 46
15 372 439
732 551 996
504 815 828
695 363 729
51 454 564
876 844 800
478 16 437
96 867 214
951 339 286
893 348 371
910 595 36
47 34 471
629 425 577
925 169 238
567 753 22
585 457 58
161 919 81
182 98 489
528 42 791
902 409 391
586 150 138
478 116 520
562 948 584
420 581 597
553 864 529
891 475 948
561 349 547
351 399 457
616 224 971
658 88 253
567 962 228
174 480 480
860 233 981
241 443 797
562 184 881
121 92 814
974 267 748
859 394 576
573 138 294
577 317 359
446 66 862
179 203 474
797 508 211
7 88 94
785 536 17
924 167 337
925 239 647
417 341 51
734 925 811
256 464 220
437 28 346
858 235 122
532 246 633
350 525 675
38 830 453
305 891 873
590 155 764
841 346 672
642 282 237
36 156 113
242 293 113
198 678 158
522 841 960
373 752 384
326 151 289
197 312 704
343 745 511
293 717 573
476 539 97
715 754 92
13 449 469
88 886 756
432 344 554
887 561 209
893 643 14
656 899 452
248 497 748
371 628 246
179 822 236
677 214 943
771 825 622
804 83 133
968 947 311
797 72 778
357 733 714
973 402 959
520 894 404
136 932 933
810 826 151
776 550 144
871 145 416
270 755 156
506 48 791
662 663 981
640 846 700
380 392 646
933 606 106
248 256 5
702 971 107
148 772 828
895 767 234
382 459 782
847 754 650
444 773 846
165 676 354
312 200 520
782 753 231
218 747 514
224 652 313
674 439 878
936 878 542
685 852 70
842 257 100
116 525 100
9 406 208
198 985 743
487 916 186
266 796 499
592 663 829
80 472 586
366 995 673
321 718 812
321 979 380
670 851 194
856 720 578
522 828 412
58 376 216
555 897 818
529 933 625
931 777 692
96 837 854
14 84 525
509 455 849
531 69 3
499 983 165
703 779 804
925 32 237
710 839 823
647 324 205
772 897 527
402 120 857
210 282 537
93 135 187
841 702 734
769 94 274
672 228 840
817 213 580
7 485 986
520 570 156
653 315 657
590 702 456
851 574 607
664 943 995
986 890 132
55 487 985
313 781 492
149 623 421
59 747 137
895 719 756
34 827 725
914 702 950
365 557 140
812 288 656
915 387 960
704 954 531
803 168 814
912 879 214
999 768 542
784 538 92
617 70 150
41 887 768
864 61 468
39 334 356
858 324 455
457 906 508
553 509 281
634 600 163
534 578 314
712 217 226
326 69 898
930 321 630
527 288 415
64 469 261
543 439 580
906 877 765
406 978 407
42 182 343
442 632 129
343 611 93
752 717 237
416 283 441
800 877 462
216 407 472
790 379 734
971 539 977
35 402 315
39 162 402
341 899 198
478 611 941
317 971 708
838 251 790
226 893 76
811 631 543
964 398 359
565 343 153
234 61 328
589 926 410
612 849 23
75 734 460
120 294 866
613 232 508
956 680 919
364 567 376
783 833 222
481 75 20
725 562 986
315 239 846
330 302 487
546 774 55
760 174 609
344 549 205
121 363 952
173 61 261
615 272 326
819 705 495
871 203 170
525 774 538
21 64 592
249 517 182
329 361 530
39 929 594
881 452 223
903 691 420
80 948 722
638 790 412
937 53 114
358 897 352
922 941 11
192 747 739
515 129 6
990 849 80
269 40 312
274 857 710
915 342 324
68 53 863
223 55 215
222 45 39
881 138 322
783 864 589
531 198 480
280 826 387
486 694 916
196 351 794
523 861 467
387 317 370
116 131 714
542 551 627
457 25 448
850 914 989
215 640 771
192 847 742
653 648 242
366 763 340
975 891 233
54 148 50
985 569 98
279 110 617
998 360 131
732 315 507
522 259 345
985 142 124
17 530 529
150 870 119
317 739 852
930 685 537
99 792 82
904 474 547
415 218 172
994 999 800
519 881 425
639 999 977
706 695 790
201 737 243
269 811 737
336 201 150
276 697 735
391 523 830
369 817 182
112 198 663
913 319 220
681 219 546
959 763 990
812 320 957
99 348 776
551 579 362
355 203 22
675 677 122
375 485 494
606 509 899
159 461 193
592 468 258
339 926 745
275 149 909
645 639 750
780 234 245
623 964 305
141 255 751
40 281 944
220 685 75
569 316 648
335 322 139
893 607 699
623 79 938
565 796 389
260 909 389
751 285 45
267 863 125
539 808 985
724 928 906
891 331 314
625 532 189
170 161 16
590 597 15
952 738 12
798 835 709
29 625 641
391 720 79
490 261 827
251 571 25
181 562 952
578 548 922
104 724 72
608 478 783
103 616 626
145 736 923
612 285 951
765 489 1
214 964 234
59 80 625
194 555 558
417 526 433
75 210 468
422 832 880
36 100 296
694 801 190
131 398 471
688 758 456
381 350 486
157 802 135
801 307 688
241 6 455
692 154 16
247 394 262
101 828 268
395 411 963
210 629 527
428 521 494
605 879 837
460 195 883
478 283 342
967 390 728
234 343 880
939 340 927
224 548 537
514 943 627
382 129 789
538 182 669
981 459 966
110 187 379
923 50 440
164 600 414
370 229 579
958 110 324
22 447 502
304 423 984
411 472 759
29 284 254
45 460 732
972 859 525
958 877 717
77 217 155
478 521 972
437 75 164
819 791 350
362 743 344
730 203 608
166 412 567
333 372 997
887 472 65
610 567 948
816 252 766
223 203 728
223 743 376
680 973 494
689 925 66
264 279 900
646 665 430
439 18 921
272 312 484
16 180 89
809 697 779
894 438 689
192 415 823
495 560 280
444 52 548
426 16 48
203 768 707
755 555 330
716 697 363
492 7 602
394 717 124
938 146 474
628 812 419
146 459 782
754 464 18
752 1000 540
35 892 4
321 764 709
305 815 59
578 79 431
654 522 428
523 521 215
81 219 783
291 55 305
98 661 287
205 659 211
389 39 10
551 132 553
405 948 785
467 819 758
338 494 839
717 949 10
766 274 9
47 873 23
904 357 539
386 978 709
2 168 625
231 664 522
217 82 672
307 509 639
594 862 387
430 199 251
721 533 300
361 845 805
777 491 950
845 649 484
199 581 905
12 103 276
314 807 754
450 823 675
931 765 814
552 966 685
809 775 920
753 324 461
593 504 358
292 589 552
352 346 441
951 549 809
113 605 730
433 559 365
611 50 746
461 600 407
968 589 366
880 173 61
983 614 698
915 546 881
932 673 555
227 897 313
636 844 812
691 616 430
337 275 749
552 487 724
73 131 722
351 49 896
478 620 533
766 325 198
29 6 529
498 260 145
241 853 138
405 462 505
979 773 756
185 724 565
962 216 961
624 498 68
63 404 8
631 791 289
213 338 350
416 483 8
167 646 960
368 778 828
708 762 107
17 707 464
316 4 466
541 98 277
5 871 985
10 829 21
321 906 858
410 463 140
583 646 5
504 689 314
147 531 334
675 314 884
219 371 181
323 364 580
338 717 635
541 425 632
369 762 948
797 136 846
726 295 758
427 529 886
809 502 474
703 656 428
470 721 308
815 620 985
76 417 328
190 231 445
6 740 590
787 290 306
202 971 675
997 465 798
743 195 920
624 405 616
581 479 166
636 746 756
867 305 394
398 976 406
382 308 917
408 358 536
985 244 129
453 184 982
62 481 448
220 305 961
519 554 622
482 94 597
440 812 269
904 945 846
974 546 824
501 763 422
830 188 929
809 209 851
602 998 206
930 238 914
225 452 200
409 359 133
890 807 56
717 579 415
182 355 275
871 584 753
85 720 766
883 580 128
709 545 387
97 618 105
423 463 393
614 84 85
963 331 523
856 707 791
722 88 625
249 90 412
363 378 531
244 761 575
112 796 351
332 99 415
153 169 410
672 738 855
136 570 212
241 684 31
720 781 731
177 165 825
951 828 778
111 926 712
468 881 28
563 72 596
546 868 962
86 795 582
170 169 731
388 180 766
617 551 869
476 585 249
519 118 883
468 502 270
198 234 447
223 324 108
255 611 101
676 567 257
262 627 514
970 193 379
71 783 594
325 919 859
128 955 471
965 400 149
813 299 753
380 22 224
780 274 499
1000 322 143
551 358 524
933 347 259
406 931 391
431 148 426
74 966 849
716 177 637
876 313 48
755 803 576
876 17 669
131 622 505
164 584 329
792 248 322
924 388 971
735 478 591
593 857 757
715 414 501
312 147 870
861 688 550
32 560 530
461 826 374
655 994 459
389 688 471
252 597 130
35 801 881
277 541 844
448 589 895
231 538 273
859 964 22
233 841 107
694 871 165
78 448 219
30 705 279
600 384 20
478 762 147
129 652 29
873 422 23
622 722 43
828 229 65
20 786 607
13 21 51
382 360 586
203 857 987
61 366 284
343 134 277
617 940 61
527 244 99
793 26 561
653 233 0
903 402 287
649 763 210
592 143 797
670 326 484
125 54 803
84 6 890
942 830 392
282 800 331
336 7 477
317 168 367
108 312 487
19 575 3
946 115 667
310 744 574
959 868 255
636 510 823
387 956 550
318 890 197
143 393 209
696 445 417
842 395 582
523 434 925
443 363 277
486 928 634
171 412 757
49 818 845
891 178 2
467 976 581
619 417 187
310 329 273
879 969 620
575 633 591
746 362 434
358 90 957
932 56 746
52 612 784
949 956 779
222 439 216
813 661 49
397 653 412
770 178 729
419 987 832
752 691 959
7 972 587
82 333 289
862 78 846
724 80 679
79 460 204
656 258 788
39 450 834
724 976 841
191 44 91
327 825 970
787 583 366
79 309 82
533 229 381
525 64 442
725 391 468
556 136 757
995 476 953
815 95 332
16 145 750
145 136 834
384 720 345
719 171 900
43 335 101
844 360 206
912 175 152
979 399 137
686 850 76
123 174 890
903 22 92
727 136 918
917 296 45
441 705 551
756 319 413
85 184 896
635 868 276
217 435 346
739 551 87
731 830 169
714 966 52
607 24 796
307 535 981
805 251 307
224 731 207
28 454 893
219 954 767
716 729 216
588 15 962
338 61 360
567 640 389
638 703 337
648 794 512
121 745 234
503 306 517
295 64 845
601 937 550
16 110 887
586 711 194
280 838 316
422 629 815
143 732 588
311 502 597
782 377 619
798 304 370
315 996 211
77 11 937
94 516 354
806 678 617
50 321 980
267 806 402
582 786 476
137 739 163
354 226 825
274 330 606
511 557 22
89 915 444
813 719 396
123 747 254
81 807 11
365 38 451
558 99 500
667 259 951
390 686 422
211 77 797
201 809 660
526 854 253
227 586 192
305 119 441
703 346 245
587 955 671
148 192 132
94 288 100
457 87 87
828 205 257
455 756 305
919 876 414
199 434 435
130 450 462
843 842 936
831 791 604
128 458 853
887 59 997
81 478 462
166 224 679
932 790 503
636 533 621
587 118 722
902 455 158
767 905 232
828 967 876
491 725 898
346 940 0
600 672 406
568 484 685
199 393 338
328 465 141
194 713 1
669 290 417
963 735 678
449 266 197
282 517 282
259 451 367
574 366 754
543 723 193
385 319 26
183 668 343
505 730 951
694 642 929
804 765 727
604 75 316
157 122 569
502 798 502
162 662 396
574 29 287
948 92 614
840 735 865
125 637 488
536 57 172
106 63 368
519 751 260
732 605 273
830 326 376
132 201 221
841 432 656
430 846 393
677 507 200
656 395 422
495 672 375
411 167 537
362 360 280
959 114 542
890 690 923
479 709 4
545 944 323
944 407 933
711 838 422
520 996 207
712 9 766
542 586 270
332 858 188
890 907 439
323 759 546
860 531 765
323 602 710
296 5 274
985 21 634
446 641 692
990 814 433
605 21 210
950 245 730
67 735 806
509 210 495
514 666 15
915 353 602
266 324 61
884 83 380
674 628 84
467 721 57
514 474 128
152 24 164
364 837 244
256 695 292
518 921 297
972 166 171
680 652 37
222 681 369
336 420 846
487 80 413
653 246 356
574 7 312
948 445 941
993 710 911
642 654 698
406 949 298
167 462 924
902 116 693
178 47 775
759 994 805
385 512 656
10 702 310
933 912 182
455 249 487
400 623 238
310 858 438
196 191 649
777 767 41
166 13 233
834 229 883
308 897 414
474 253 910
221 630 803
147 90 771
838 946 25
213 48 5
722 189 885
64 96 244
85 248 11
897 878 363
295 885 251
632 746 459
617 453 898
538 19 708
188 258 452
934 844 265
363 973 482
342 989 203
224 754 567
255 636 515
497 140 651
449 724 673
883 383 739
11 263 873
252 380 460
691 653 427
191 270 752
3 725 266
823 846 601
96 104 591
720 253 593
307 294 558
426 407 560
833 271 137
385 80 372
62 120 740
714 777 752
146 497 780
62 324 341
359 316 506
639 243 791
184 989 800
31 544 371
387 211 256
418 659 526
555 502 810
956 897 69
404 173 470
6 682 798
919 869 231
334 575 929
536 604 195
583 126 410
285 141 533
57 715 593
675 877 896
546 559 760
365 787 76
156 988 180
782 150 232
788 324 823
395 894 942
702 14 245
853 83 48
376 673 309
952 422 63
340 426 233
496 69 477
341 82 11
393 775 936
697 483 46
147 945 67
646 200 816
849 184 32
878 851 970
90 961 137
898 91 976
253 876 418
354 389 616
630 100 578
732 122 870
167 215 387
150 251 427
80 409 542
840 96 366
846 637 203
875 641 343
147 879 913
55 913 285
580 135 657
575 441 324
175 271 299
364 182 684
88 231 405
36 608 334
571 317 920
975 710 226
661 886 880
987 929 403
738 779 824
617 822 817
555 715 343
881 33 373
226 729 474
632 339 571
924 829 80
192 876 936
409 970 461
85 733 710
266 676 524
897 574 820
873 607 16
411 286 157
280 556 934
687 220 326
750 665 666
146 435 616
263 595 43
134 444 540
862 154 876
509 315 173
266 245 283
181 299 47
528 173 87
495 518 56
115 364 615
42 614 149
537 142 81
140 464 296
535 53 292
812 395 894
555 228 12
583 318 940
161 608 775
774 105 742
975 870 168
215 320 974
371 440 9
786 549 885
692 579 31
695 233 877
666 716 565
522 686 803
496 214 274
965 603 120
274 124 560
14 836 398
887 48 915
122 807 953
328 495 160
179 61 272
987 239 290
202 843 760
295 147 897
256 65 108
299 687 372
430 324 305
789 862 284
158 519 497
599 752 298
520 175 840
352 332 345
944 15 705
755 728 678
286 91 18
635 617 951
719 313 955
33 793 684
362 817 207
286 145 618
211 558 96
445 853 694
920 591 966
100 701 612
519 974 162
435 384 304
488 130 313
534 503 551
548 732 717
455 910 585
291 417 16
91 815 715
52 98 213
724 8 65
774 221 994
316 622 611
772 503 342
613 72 231
273 326 722
149 753 795
307 549 648
869 426 106
640 638 17
730 52 580
574 474 213
218 198 370
469 306 938
922 222 187
700 682 465
392 241 364
616 443 653
275 332 423
586 426 783
284 840 374
242 513 996
532 334 901
924 803 125
588 815 104
215 964 397
70 950 38
108 780 994
366 8 324
84 740 345
91 13 543
743 178 470
879 695 648
175 273 595
529 880 106
805 180 594
245 677 50
414 701 221
969 354 363
625 51 113
223 746 547
409 369 758
843 123 950
970 568 622
700 376 31
787 29 743
453 713 471
16 841 936
25 292 683
470 69 800
292 21 730
338 421 58
615 888 329
279 985 246
978 344 76
390 814 527
668 279 328
465 843 167
145 295 106
689 782 125
481 32 448
333 334 400
975 436 897
329 853 409
221 69 205
314 206 806
403 478 86
713 395 827
696 853 226
960 27 131
527 491 359
621 177 274
322 264 576
483 970 91
191 452 810
102 221 50
413 995 815
709 30 934
872 553 660
63 838 28
849 692 589
204 138 768
389 766 429
376 541 527
415 383 605
501 659 591
631 157 395
825 397 221
992 490 394
936 740 756
755 365 12
867 284 288
543 252 556
350 610 837
816 139 112
147 386 813
349 212 450
239 682 674
209 408 382
735 466 121
