50 1000
27 19 191
36 34 479
32 33 129
28 47 204
5 23 631
42 3 919
31 49 276
8 29 867
10 43 652
45 29 443
16 26 549
3 11 934
28 46 938
46 39 151
48 44 32
28 33 536
17 14 224
13 8 79
38 14 303
30 20 671
34 17 126
36 31 159
14 1 735
23 26 627
32 22 407
21 23 530
48 25 402
22 43 512
36 39 402
42 29 490
29 46 770
27 30 588
43 34 670
46 45 865
20 36 549
9 26 378
48 47 623
25 37 852
4 11 36
47 23 441
47 36 275
37 10 659
49 30 53
7 47 97
49 46 355
3 28 401
18 22 817
33 43 330
16 49 914
25 39 978
26 27 410
23 2 612
38 40 408
45 40 316
5 13 187
11 16 146
7 36 965
42 48 951
30 12 61
7 9 50
31 4 25
27 45 837
46 18 122
30 5 739
11 39 869
6 25 185
25 31 466
15 12 476
19 21 127
32 3 425
17 12 615
6 44 481
45 37 846
2 16 599
43 45 713
10 48 212
13 43 790
24 13 927
24 39 5
23 17 805
42 25 628
3 44 186
49 7 730
13 26 67
18 30 13
50 43 901
41 4 527
50 44 689
9 15 90
2 31 159
9 21 281
5 24 516
1 18 960
37 21 592
18 6 716
11 7 996
42 23 245
8 24 992
34 8 467
21 29 777
39 2 621
50 38 199
11 1 161
21 18 924
19 7 95
24 23 254
12 27 736
31 20 757
43 6 453
22 15 211
13 22 888
26 49 199
5 42 344
13 10 522
24 27 216
8 48 982
21 8 707
2 26 172
1 8 219
41 17 399
43 12 558
34 6 377
11 23 409
19 13 151
7 14 620
22 25 277
46 20 329
25 47 713
32 42 27
32 9 827
35 32 406
49 9 87
24 2 318
42 22 815
30 16 193
41 34 610
49 3 944
17 44 398
38 31 577
44 28 72
8 2 387
24 45 483
30 29 441
10 1 275
50 36 399
24 38 883
46 23 567
13 47 632
13 44 107
13 33 863
14 45 78
32 7 652
7 3 280
35 41 100
48 31 25
12 14 485
27 31 249
5 47 901
9 14 937
18 7 343
21 3 803
33 23 630
39 41 909
12 49 658
4 48 829
32 14 875
11 14 777
20 12 812
46 10 192
14 16 582
38 18 101
28 21 816
39 14 868
27 17 34
24 18 188
38 5 610
18 31 310
15 8 727
5 16 252
34 47 12
13 42 808
30 26 926
38 44 459
28 29 240
1 34 200
38 8 244
50 30 693
44 45 645
9 5 227
26 15 485
31 43 213
29 10 240
1 44 163
27 29 912
26 18 684
13 18 145
35 46 296
14 4 691
45 6 619
43 21 307
26 42 55
8 27 403
40 28 49
37 5 44
17 31 978
27 39 503
37 48 957
20 14 350
3 17 655
47 12 533
24 3 639
29 20 197
1 50 402
9 36 893
38 4 22
21 6 732
41 8 708
20 7 787
3 6 289
24 7 538
22 17 945
49 23 328
20 21 5
12 1 376
44 18 129
49 38 908
26 46 62
29 31 197
35 38 580
15 11 154
12 36 2
32 40 949
29 24 114
23 34 75
19 11 723
3 18 562
43 37 822
28 20 176
28 36 718
35 18 606
9 31 615
5 34 30
15 16 760
18 19 320
30 41 24
17 39 985
39 32 838
21 42 699
37 50 367
39 19 663
42 34 760
38 10 950
35 22 325
48 38 291
34 29 604
32 29 671
23 6 87
47 16 794
45 22 118
26 33 58
38 47 782
30 10 70
27 20 672
2 30 447
23 38 434
11 46 889
49 22 284
24 48 186
2 18 587
25 27 29
24 21 654
20 45 244
33 31 63
13 45 6
33 14 253
22 31 116
43 48 945
31 46 710
20 39 928
50 27 487
7 43 815
48 39 560
9 8 27
29 12 231
17 45 597
50 31 524
37 13 114
39 7 754
18 50 483
7 6 40
19 24 146
20 16 867
6 38 212
42 1 168
1 5 661
41 9 824
43 15 558
4 3 900
8 33 109
37 20 233
27 10 795
37 16 486
46 40 417
16 6 901
14 47 405
3 39 876
42 47 77
3 48 595
3 36 568
35 39 35
10 31 936
32 11 724
7 42 859
44 22 601
35 6 574
14 44 393
40 8 895
19 3 799
5 50 939
14 49 878
28 16 666
8 43 136
3 30 736
35 29 633
35 14 98
6 28 42
28 35 889
15 40 416
23 32 86
9 47 688
12 9 674
31 19 187
1 22 141
25 4 516
28 26 452
23 18 540
13 1 777
15 33 749
13 49 320
2 42 110
12 21 483
44 29 260
45 42 848
15 2 852
26 4 435
23 4 218
38 30 85
3 34 694
45 16 640
35 9 170
42 40 937
28 1 322
11 6 51
27 1 762
32 47 38
19 43 893
50 14 819
27 5 203
21 1 480
43 11 319
16 44 686
25 12 24
30 6 574
8 47 972
31 8 860
2 21 563
3 15 555
1 30 450
49 1 399
31 24 510
33 35 898
47 39 985
44 20 472
40 9 947
31 41 218
17 38 538
19 4 965
14 5 410
2 5 563
1 15 468
47 6 385
19 45 780
3 12 443
8 19 159
47 27 806
37 47 322
39 16 83
48 5 438
18 41 618
49 8 869
26 40 992
42 24 179
37 7 254
32 44 45
2 50 365
36 2 622
38 32 798
43 24 664
48 9 97
27 16 626
31 3 279
33 21 998
37 6 679
35 7 56
14 21 223
14 42 451
3 46 681
26 31 873
33 6 706
23 27 299
49 29 665
8 50 83
25 19 935
3 47 406
6 15 895
41 43 357
6 29 627
26 37 718
46 1 20
36 32 492
28 15 275
26 44 352
18 17 726
49 27 890
38 29 552
6 8 229
23 39 85
29 9 824
43 3 769
23 35 332
17 49 220
45 4 888
48 1 381
4 28 362
17 33 270
41 7 545
14 48 463
16 3 688
23 41 365
4 1 729
31 32 714
37 35 809
31 37 780
13 9 813
15 19 667
37 49 10
2 11 280
20 6 429
4 20 38
33 18 941
37 41 35
36 29 195
1 6 580
14 6 910
37 39 711
